id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2223143792,pull_request,closed,,"[MLv2] Handle nested ""Zoom In"" drills on binned columns","The first time you zoom in on a bin in a binned query, it works fine.

For example, Orders COUNT by SUBTOTAL auto-binned has a bin for 40-60. If you zoom in on that, it correctly shows the range 40 to 60 broken down into smaller bins which are 2.5 units wide. If you then try to zoom in on one of these smaller bins, say 50-52.5, there are two problems:

1. The filters from the first zoom (`>= 40` and `< 60`) are still there, and so are the new ones (`>= 50` and `< 52.5`).
2. The new filter is actually wrong; it uses the big width (20) from the original bins, not the width of the nested bins (2.5), so the new filters are `>= 50` and `< 70`.

This PR fixes both issues, so nested bins (1) remove the old filters, and (2) use the correct width for the nested bins.

",bshepherdson,2024-04-03 14:47:59+00:00,['bshepherdson'],2024-04-04 15:03:20+00:00,2024-04-04 15:03:06+00:00,https://github.com/metabase/metabase/pull/40965,"[('no-backport', 'Do not backport this PR to any branch')]","[{'comment_id': 2034832375, 'issue_id': 2223143792, 'author': 'bshepherdson', 'body': '* **#40965** <a href=""https://app.graphite.dev/github/pr/metabase/metabase/40965?utm_source=stack-comment-icon"" target=""_blank""><img src=""https://static.graphite.dev/graphite-32x32-black.png"" alt=""Graphite"" width=""10px"" height=""10px""/></a> 👈\n* `master`\n\nThis stack of pull requests is managed by Graphite. <a href=""https://stacking.dev/?utm_source=stack-comment"">Learn more about stacking.</a>\n<h2></h2>\n\n Join @bshepherdson and the rest of your teammates on <a href=""https://graphite.dev?utm-source=stack-comment""><img src=""https://static.graphite.dev/graphite-32x32-black.png"" alt=""Graphite"" width=""11px"" height=""11px""/> <b>Graphite</b></a>\n  <!-- Current dependencies on/for this PR: -->', 'created_at': datetime.datetime(2024, 4, 3, 14, 48, 13, tzinfo=datetime.timezone.utc)}, {'comment_id': 2034861585, 'issue_id': 2223143792, 'author': 'replay-io[bot]', 'body': '<h3></h3>\n<table>\n  <tbody>\n    <tr>\n      <td><b>Status</b></td>\n      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/c40a34ef-f2bc-4ed8-b487-7622de991ee8"" target=""_blank"">In Progress ↗︎</a> 55 / 56</td>\n    </tr>\n    <tr>\n      <td><b>Commit</b></td>\n      <td>01efd0faa61750ea04781256c31068be6f5f0e7e</td>\n    </tr>\n    <tr>\n      <td valign=""top""><b>Results</b></td>\n      <td><div>⚠️ <b>10 Flaky</b></div>\n<div>✅ <b>2389 Passed</b></div>\n</td>\n    </tr>\n  </tbody>\n</table>', 'created_at': datetime.datetime(2024, 4, 3, 15, 0, 27, tzinfo=datetime.timezone.utc)}, {'comment_id': 2037462183, 'issue_id': 2223143792, 'author': 'github-actions[bot]', 'body': '@bshepherdson Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_', 'created_at': datetime.datetime(2024, 4, 4, 15, 3, 19, tzinfo=datetime.timezone.utc)}]","bshepherdson (Issue Creator) on (2024-04-03 14:48:13 UTC): * **#40965** <a href=""https://app.graphite.dev/github/pr/metabase/metabase/40965?utm_source=stack-comment-icon"" target=""_blank""><img src=""https://static.graphite.dev/graphite-32x32-black.png"" alt=""Graphite"" width=""10px"" height=""10px""/></a> 👈
* `master`

This stack of pull requests is managed by Graphite. <a href=""https://stacking.dev/?utm_source=stack-comment"">Learn more about stacking.</a>
<h2></h2>

 Join @bshepherdson and the rest of your teammates on <a href=""https://graphite.dev?utm-source=stack-comment""><img src=""https://static.graphite.dev/graphite-32x32-black.png"" alt=""Graphite"" width=""11px"" height=""11px""/> <b>Graphite</b></a>
  <!-- Current dependencies on/for this PR: -->

replay-io[bot] on (2024-04-03 15:00:27 UTC): <h3></h3>
<table>
  <tbody>
    <tr>
      <td><b>Status</b></td>
      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/c40a34ef-f2bc-4ed8-b487-7622de991ee8"" target=""_blank"">In Progress ↗︎</a> 55 / 56</td>
    </tr>
    <tr>
      <td><b>Commit</b></td>
      <td>01efd0faa61750ea04781256c31068be6f5f0e7e</td>
    </tr>
    <tr>
      <td valign=""top""><b>Results</b></td>
      <td><div>⚠️ <b>10 Flaky</b></div>
<div>✅ <b>2389 Passed</b></div>
</td>
    </tr>
  </tbody>
</table>

github-actions[bot] on (2024-04-04 15:03:19 UTC): @bshepherdson Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_

"
2223119401,pull_request,closed,,Temporarily comment out flaky caching test: min-ttl-test,@piranha will take a look when he is back,qnkhuat,2024-04-03 14:36:53+00:00,['qnkhuat'],2024-04-05 17:32:58+00:00,2024-04-03 15:28:54+00:00,https://github.com/metabase/metabase/pull/40963,"[('no-backport', 'Do not backport this PR to any branch'), ('.Team/Workflows', 'aka BEC')]","[{'comment_id': 2034928719, 'issue_id': 2223119401, 'author': 'github-actions[bot]', 'body': '@qnkhuat Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_', 'created_at': datetime.datetime(2024, 4, 3, 15, 29, 4, tzinfo=datetime.timezone.utc)}]","github-actions[bot] on (2024-04-03 15:29:04 UTC): @qnkhuat Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_

"
2223106205,pull_request,closed,,Add analytics events for the native code preview in a notebook,"### What does this PR accomplish?
Resolves #40948 by:
- Updating an existing `question` schema to `1-0-3`
- Adding two new events to that schema
    - `notebook_native_preview_shown`
    - `notebook_native_preview_hidden`
- Exposing these events on the frontend and hooking the native query preview toggle to send those quests on click
- Adding E2E tests that cover this behavior

### Additional notes
To make the review easier, here's the actual schema diff between versions `1-0-2` and `1-0-3`
https://www.diffchecker.com/FQe8EUy2/

(the link will expire in seven days)",nemanjaglumac,2024-04-03 14:30:49+00:00,['nemanjaglumac'],2024-04-03 16:00:08+00:00,2024-04-03 15:59:55+00:00,https://github.com/metabase/metabase/pull/40962,"[('no-backport', 'Do not backport this PR to any branch'), ('.Team/Querying', '')]","[{'comment_id': 2034850194, 'issue_id': 2223106205, 'author': 'replay-io[bot]', 'body': '<h3></h3>\n<table>\n  <tbody>\n    <tr>\n      <td><b>Status</b></td>\n      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/4f26846b-5390-4034-a421-13475a8c8927"" target=""_blank"">Complete ↗︎</a></td>\n    </tr>\n    <tr>\n      <td><b>Commit</b></td>\n      <td>3d35e3c2b42bbac34d71e086e1bb9cbbf11f38ef</td>\n    </tr>\n    <tr>\n      <td valign=""top""><b>Results</b></td>\n      <td><div>⚠️ <b>10 Flaky</b></div>\n<div>✅ <b>2390 Passed</b></div>\n</td>\n    </tr>\n  </tbody>\n</table>', 'created_at': datetime.datetime(2024, 4, 3, 14, 55, 59, tzinfo=datetime.timezone.utc)}, {'comment_id': 2035002880, 'issue_id': 2223106205, 'author': 'github-actions[bot]', 'body': '@nemanjaglumac Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_', 'created_at': datetime.datetime(2024, 4, 3, 16, 0, 6, tzinfo=datetime.timezone.utc)}]","replay-io[bot] on (2024-04-03 14:55:59 UTC): <h3></h3>
<table>
  <tbody>
    <tr>
      <td><b>Status</b></td>
      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/4f26846b-5390-4034-a421-13475a8c8927"" target=""_blank"">Complete ↗︎</a></td>
    </tr>
    <tr>
      <td><b>Commit</b></td>
      <td>3d35e3c2b42bbac34d71e086e1bb9cbbf11f38ef</td>
    </tr>
    <tr>
      <td valign=""top""><b>Results</b></td>
      <td><div>⚠️ <b>10 Flaky</b></div>
<div>✅ <b>2390 Passed</b></div>
</td>
    </tr>
  </tbody>
</table>

github-actions[bot] on (2024-04-03 16:00:06 UTC): @nemanjaglumac Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_

"
2223073534,pull_request,closed,,Convert PreviewPane to TS,,oisincoveney,2024-04-03 14:18:15+00:00,['oisincoveney'],2024-04-10 10:14:07+00:00,2024-04-10 10:14:07+00:00,https://github.com/metabase/metabase/pull/40961,"[('no-backport', 'Do not backport this PR to any branch'), ('.Team/Embedding', '')]","[{'comment_id': 2042770424, 'issue_id': 2223073534, 'author': 'replay-io[bot]', 'body': '<h3></h3>\n<table>\n  <tbody>\n    <tr>\n      <td><b>Status</b></td>\n      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/1a74466f-f5ab-4991-8121-30f711d6c698"" target=""_blank"">Complete ↗︎</a></td>\n    </tr>\n    <tr>\n      <td><b>Commit</b></td>\n      <td>068a3c9df94f71fca1a00062be252043fb1ebee1</td>\n    </tr>\n    <tr>\n      <td valign=""top""><b>Results</b></td>\n      <td><div>⚠️ <b>11 Flaky</b></div>\n<div>✅ <b>2395 Passed</b></div>\n</td>\n    </tr>\n  </tbody>\n</table>', 'created_at': datetime.datetime(2024, 4, 8, 13, 32, 3, tzinfo=datetime.timezone.utc)}]","replay-io[bot] on (2024-04-08 13:32:03 UTC): <h3></h3>
<table>
  <tbody>
    <tr>
      <td><b>Status</b></td>
      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/1a74466f-f5ab-4991-8121-30f711d6c698"" target=""_blank"">Complete ↗︎</a></td>
    </tr>
    <tr>
      <td><b>Commit</b></td>
      <td>068a3c9df94f71fca1a00062be252043fb1ebee1</td>
    </tr>
    <tr>
      <td valign=""top""><b>Results</b></td>
      <td><div>⚠️ <b>11 Flaky</b></div>
<div>✅ <b>2395 Passed</b></div>
</td>
    </tr>
  </tbody>
</table>

"
2223062567,pull_request,closed,,"🤖 backported ""Clarify that backport/no-backport is an internal thing""",#40954,metabase-bot[bot],2024-04-03 14:13:41+00:00,['darksciencebase'],2024-04-03 14:15:17+00:00,2024-04-03 14:15:16+00:00,https://github.com/metabase/metabase/pull/40960,"[('was-backported', 'apply this to PRs that are themselves backports')]",[],
2223014613,pull_request,closed,,Remove lingering Joda Time references,"[Fixes #13922]

Joda Time is still used by a couple libraries, but we no longer use it directly and are protected against the bug that required version-hacking (#13867).

Do I need to document that we don't convert 

```
$ clojure -X:deps tree | ack joda -B 6
      . com.google.code.findbugs/jsr305 3.0.2
      X com.google.guava/guava 31.1-jre :use-top
  . org.clojure/spec.alpha 0.3.218
  . com.onelogin/java-saml 2.9.0
    . com.onelogin/java-saml-core 2.9.0
      X org.slf4j/slf4j-api 1.7.35 :use-top
      . joda-time/joda-time 2.10.6
      X org.apache.commons/commons-lang3 3.12.0 :use-top
      X org.apache.santuario/xmlsec 2.2.3 :older-version
      X commons-codec/commons-codec 1.15 :use-top
    X org.slf4j/slf4j-api 1.7.35 :use-top
    . joda-time/joda-time 2.10.6 :newer-version
--
org.apache.logging.log4j/log4j-jul 2.23.1
  X org.apache.logging.log4j/log4j-api 2.23.1 :use-top
org.clojure/tools.macro 0.2.0
com.gfredericks/test.chuck 0.2.14
  X org.clojure/test.check 1.1.0 :superseded
  . clj-time/clj-time 0.15.2
    X joda-time/joda-time 2.10 :older-version
  . com.andrewmcveigh/cljs-time 0.5.2
  X instaparse/instaparse 1.4.10 :use-top
metabase/throttle 1.0.2
  X org.clojure/math.numeric-tower 0.0.4 :use-top
net.redhogs.cronparser/cron-parser-core 3.5
  X org.apache.commons/commons-lang3 3.3.2 :use-top
  X joda-time/joda-time 2.3 :superseded
```",tsmacdonald,2024-04-03 13:55:30+00:00,['tsmacdonald'],2024-04-08 08:28:15+00:00,2024-04-08 08:28:01+00:00,https://github.com/metabase/metabase/pull/40958,"[('no-backport', 'Do not backport this PR to any branch'), ('.Team/Workflows', 'aka BEC')]","[{'comment_id': 2034706734, 'issue_id': 2223014613, 'author': 'dpsutton', 'body': ""running `clj -X:deps tree :aliases '[:dev :ee :ee-dev :drivers :drivers-dev]'` I see that we still have joda in our athena driver:\r\n\r\n```\r\n  . metabase/athena /Users/dan/projects/work/metabase/modules/drivers/athena\r\n    . com.amazonaws/aws-java-sdk-core 1.12.683\r\n      X commons-logging/commons-logging 1.1.3 :older-version\r\n      X commons-codec/commons-codec 1.15 :use-top\r\n      X org.apache.httpcomponents/httpclient 4.5.13 :older-version\r\n      X com.fasterxml.jackson.core/jackson-databind 2.12.7.1 :use-top\r\n      X com.fasterxml.jackson.dataformat/jackson-dataformat-cbor 2.12.6 :older-version\r\n      X joda-time/joda-time 2.8.1 :older-version\r\n    . com.metabase/athena-jdbc 2.0.35\r\n```"", 'created_at': datetime.datetime(2024, 4, 3, 14, 2, 17, tzinfo=datetime.timezone.utc)}, {'comment_id': 2034718352, 'issue_id': 2223014613, 'author': 'tsmacdonald', 'body': ""@dpsutton bundled in with `aws-java-sdk-core`—we're not using it directly. Am I supposed to do anything about that? It'd be a huge job to purge Joda as a transitive dependency (it's used by several libs in core Metabase as well)"", 'created_at': datetime.datetime(2024, 4, 3, 14, 5, 32, tzinfo=datetime.timezone.utc)}, {'comment_id': 2034722635, 'issue_id': 2223014613, 'author': 'replay-io[bot]', 'body': '<h3></h3>\n<table>\n  <tbody>\n    <tr>\n      <td><b>Status</b></td>\n      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/b8d139f0-dbf8-4eb2-b2e1-e5821bd18c91"" target=""_blank"">Complete ↗︎</a></td>\n    </tr>\n    <tr>\n      <td><b>Commit</b></td>\n      <td>61024699f3e27a6051610d031c9fa2b174f9b9e3</td>\n    </tr>\n    <tr>\n      <td valign=""top""><b>Results</b></td>\n      <td><div>⚠️ <b>10 Flaky</b></div>\n<div>✅ <b>2394 Passed</b></div>\n</td>\n    </tr>\n  </tbody>\n</table>', 'created_at': datetime.datetime(2024, 4, 3, 14, 7, 18, tzinfo=datetime.timezone.utc)}, {'comment_id': 2034744828, 'issue_id': 2223014613, 'author': 'dpsutton', 'body': ""I'm honestly not sure. I was mainly posting this with the invocation that showed how to include the aliases to see the full deps tree. I do wonder if we should leave the mapping from `org.joda.time.DateTime :type/DateTime` since the type could still exist."", 'created_at': datetime.datetime(2024, 4, 3, 14, 14, 30, tzinfo=datetime.timezone.utc)}, {'comment_id': 2034769088, 'issue_id': 2223014613, 'author': 'tsmacdonald', 'body': ""Since it's been in the deprecated list for almost five years I felt like it was time to say good bye. Individual drivers can override the behavior if needed."", 'created_at': datetime.datetime(2024, 4, 3, 14, 22, 10, tzinfo=datetime.timezone.utc)}, {'comment_id': 2042024213, 'issue_id': 2223014613, 'author': 'tsmacdonald', 'body': '> There is still a reference in metabase.util.date-2 ns doc if you want to remove it.\r\n\r\nI left that in since date-2 is indeed ""a replacement of `metabase.util.date` that [does not use] Joda-Time""', 'created_at': datetime.datetime(2024, 4, 8, 7, 15, 34, tzinfo=datetime.timezone.utc)}, {'comment_id': 2042159890, 'issue_id': 2223014613, 'author': 'github-actions[bot]', 'body': '@tsmacdonald Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_', 'created_at': datetime.datetime(2024, 4, 8, 8, 28, 14, tzinfo=datetime.timezone.utc)}]","dpsutton on (2024-04-03 14:02:17 UTC): running `clj -X:deps tree :aliases '[:dev :ee :ee-dev :drivers :drivers-dev]'` I see that we still have joda in our athena driver:

```
  . metabase/athena /Users/dan/projects/work/metabase/modules/drivers/athena
    . com.amazonaws/aws-java-sdk-core 1.12.683
      X commons-logging/commons-logging 1.1.3 :older-version
      X commons-codec/commons-codec 1.15 :use-top
      X org.apache.httpcomponents/httpclient 4.5.13 :older-version
      X com.fasterxml.jackson.core/jackson-databind 2.12.7.1 :use-top
      X com.fasterxml.jackson.dataformat/jackson-dataformat-cbor 2.12.6 :older-version
      X joda-time/joda-time 2.8.1 :older-version
    . com.metabase/athena-jdbc 2.0.35
```

tsmacdonald (Issue Creator) on (2024-04-03 14:05:32 UTC): @dpsutton bundled in with `aws-java-sdk-core`—we're not using it directly. Am I supposed to do anything about that? It'd be a huge job to purge Joda as a transitive dependency (it's used by several libs in core Metabase as well)

replay-io[bot] on (2024-04-03 14:07:18 UTC): <h3></h3>
<table>
  <tbody>
    <tr>
      <td><b>Status</b></td>
      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/b8d139f0-dbf8-4eb2-b2e1-e5821bd18c91"" target=""_blank"">Complete ↗︎</a></td>
    </tr>
    <tr>
      <td><b>Commit</b></td>
      <td>61024699f3e27a6051610d031c9fa2b174f9b9e3</td>
    </tr>
    <tr>
      <td valign=""top""><b>Results</b></td>
      <td><div>⚠️ <b>10 Flaky</b></div>
<div>✅ <b>2394 Passed</b></div>
</td>
    </tr>
  </tbody>
</table>

dpsutton on (2024-04-03 14:14:30 UTC): I'm honestly not sure. I was mainly posting this with the invocation that showed how to include the aliases to see the full deps tree. I do wonder if we should leave the mapping from `org.joda.time.DateTime :type/DateTime` since the type could still exist.

tsmacdonald (Issue Creator) on (2024-04-03 14:22:10 UTC): Since it's been in the deprecated list for almost five years I felt like it was time to say good bye. Individual drivers can override the behavior if needed.

tsmacdonald (Issue Creator) on (2024-04-08 07:15:34 UTC): I left that in since date-2 is indeed ""a replacement of `metabase.util.date` that [does not use] Joda-Time""

github-actions[bot] on (2024-04-08 08:28:14 UTC): @tsmacdonald Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_

"
2222966009,pull_request,closed,,Enable not emptyable arguments for is-empty and not-empty clauses,"Closes #40885, #40883,  #41005

### Description

This PR enables `:is-empty` arguments to be just`::expression/expression` (ie. do not have to be `::expression/emptyable`). Then, check if the arg is emptyable is moved to desugar code. For not emptyable args, `:is-empty` is expanded the same way as `:is-null`.

This PR also renames `test-data-with-null-date-checkins` dataset to `test-data-null-date`. Reason being that recently we've added logic into `metabase.test.data.interface/db-qualified-table-name` that requires resulting names to be shorther than 30 chars. Because of that, dataset was not usable with eg. redshift, vertica, oracle... And now it is.

### How to verify

Follow the reproduction steps from linked issues or run updated tests.

### Checklist

- [x] Tests have been added/updated to cover changes in this PR
",lbrdnk,2024-04-03 13:37:40+00:00,['lbrdnk'],2024-04-04 16:51:11+00:00,2024-04-04 16:51:10+00:00,https://github.com/metabase/metabase/pull/40957,"[('backport', 'Automatically create PR on current release branch on merge')]","[{'comment_id': 2034674697, 'issue_id': 2222966009, 'author': 'replay-io[bot]', 'body': '<h3></h3>\n<table>\n  <tbody>\n    <tr>\n      <td><b>Status</b></td>\n      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/71438838-d418-4085-9d31-d2e88f9cf614"" target=""_blank"">In Progress ↗︎</a> 53 / 54</td>\n    </tr>\n    <tr>\n      <td><b>Commit</b></td>\n      <td>f549bf34efc78d329626bfd98c692556bb14899d</td>\n    </tr>\n    <tr>\n      <td valign=""top""><b>Results</b></td>\n      <td><div>⚠️ <b>8 Flaky</b></div>\n<div>✅ <b>2394 Passed</b></div>\n</td>\n    </tr>\n  </tbody>\n</table>', 'created_at': datetime.datetime(2024, 4, 3, 13, 50, 21, tzinfo=datetime.timezone.utc)}]","replay-io[bot] on (2024-04-03 13:50:21 UTC): <h3></h3>
<table>
  <tbody>
    <tr>
      <td><b>Status</b></td>
      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/71438838-d418-4085-9d31-d2e88f9cf614"" target=""_blank"">In Progress ↗︎</a> 53 / 54</td>
    </tr>
    <tr>
      <td><b>Commit</b></td>
      <td>f549bf34efc78d329626bfd98c692556bb14899d</td>
    </tr>
    <tr>
      <td valign=""top""><b>Results</b></td>
      <td><div>⚠️ <b>8 Flaky</b></div>
<div>✅ <b>2394 Passed</b></div>
</td>
    </tr>
  </tbody>
</table>

"
2222964608,pull_request,closed,,Convert PublicError and PublicNotFound to TS,,oisincoveney,2024-04-03 13:37:16+00:00,['oisincoveney'],2024-04-08 08:54:10+00:00,2024-04-08 08:54:09+00:00,https://github.com/metabase/metabase/pull/40956,"[('no-backport', 'Do not backport this PR to any branch'), ('.Team/Embedding', '')]","[{'comment_id': 2036623251, 'issue_id': 2222964608, 'author': 'replay-io[bot]', 'body': '<h3></h3>\n<table>\n  <tbody>\n    <tr>\n      <td><b>Status</b></td>\n      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/0059ff11-483d-4ba0-ad7e-497a190eba26"" target=""_blank"">Complete ↗︎</a></td>\n    </tr>\n    <tr>\n      <td><b>Commit</b></td>\n      <td>61df0f123818b224bbe771599b128d6be91688a0</td>\n    </tr>\n    <tr>\n      <td valign=""top""><b>Results</b></td>\n      <td><div>⚠️ <b>14 Flaky</b></div>\n<div>✅ <b>2389 Passed</b></div>\n</td>\n    </tr>\n  </tbody>\n</table>', 'created_at': datetime.datetime(2024, 4, 4, 9, 14, 8, tzinfo=datetime.timezone.utc)}]","replay-io[bot] on (2024-04-04 09:14:08 UTC): <h3></h3>
<table>
  <tbody>
    <tr>
      <td><b>Status</b></td>
      <td width=""2000""><a href=""https://app.replay.io/team/dzoyNTM4ZjRmOC05YmFlLTRiYjYtYjljYi1jOGYzOWUyMjRhZWY=/runs/0059ff11-483d-4ba0-ad7e-497a190eba26"" target=""_blank"">Complete ↗︎</a></td>
    </tr>
    <tr>
      <td><b>Commit</b></td>
      <td>61df0f123818b224bbe771599b128d6be91688a0</td>
    </tr>
    <tr>
      <td valign=""top""><b>Results</b></td>
      <td><div>⚠️ <b>14 Flaky</b></div>
<div>✅ <b>2389 Passed</b></div>
</td>
    </tr>
  </tbody>
</table>

"
2222863901,pull_request,closed,,"🤖 backported ""docs - add 49.3 to list of releases""",#40943,metabase-bot[bot],2024-04-03 12:55:53+00:00,['jeff-bruemmer'],2024-04-03 12:57:34+00:00,2024-04-03 12:57:33+00:00,https://github.com/metabase/metabase/pull/40955,"[('was-backported', 'apply this to PRs that are themselves backports')]",[],
2222862205,pull_request,closed,,Clarify that backport/no-backport is an internal thing,"External contributors ask about the notion doc they can't access and about the labels they are not expected to set a few times per month. This is not the experience we should give to people who not only take their time to contribute to metabase, but also actually read the PR template.

(slightly duplicated condition in the beginning and the end of the paragraph — ""For those employed [...] If you're not employed [...]"" — is on purpose)
",darksciencebase,2024-04-03 12:55:03+00:00,['darksciencebase'],2024-04-03 14:13:09+00:00,2024-04-03 14:12:57+00:00,https://github.com/metabase/metabase/pull/40954,"[('backport', 'Automatically create PR on current release branch on merge')]","[{'comment_id': 2034741220, 'issue_id': 2222862205, 'author': 'github-actions[bot]', 'body': '@darksciencebase Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_', 'created_at': datetime.datetime(2024, 4, 3, 14, 13, 8, tzinfo=datetime.timezone.utc)}]","github-actions[bot] on (2024-04-03 14:13:08 UTC): @darksciencebase Did you forget to add a milestone to the issue for this PR? _[When and where should I add a milestone?](https://www.notion.so/metabase/Metabase-Branching-Strategy-6eb577d5f61142aa960a626d6bbdfeb3?pvs=4#3dea255ffa3b4f74942a227844e889fa)_

"
